시군명,병원명/센터명,업무구분명,대표전화번호,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,응급의료지원센터여부,전문응급의료센터여부,전문응급센터전문분야,권역외상센터여부,지역외상센터여부
경기도,경기응급의료지원센터,응급의료지원센터,031-8008-5641,"경기도 수원시 영통구 도청로 30, 23층",경기도 수원시 영통구 이의동 23층,16508,37.2893309929,127.0534874583,Y,,,,
수원시,(의)명인의료재단 화홍병원,지역센터,031-8021-6829,경기도 수원시 권선구 호매실로 90번길 98(호매실동),경기도 수원시 권선구 호매실동 1396-1번지,16630,37.2601327790,126.9639256053,,,,,
수원시,경기도의료원 수원병원,지역기관,031-888-0114,경기도 수원시 장안구 수성로 245번길 69,경기도 수원시 장안구 정자동 886-9번지,16316,37.2918869067,126.9963395675,,,,,
수원시,동수원병원,지역센터,031-210-0114,경기도 수원시 팔달구 중부대로 165(우만동),경기도 수원시 팔달구 우만동 157-7번지,16494,37.2781610499,127.0343321487,,,,,
수원시,성빈센트병원,지역센터,1577-8588,경기도 수원시 팔달구 중부대로 93(지동),경기도 수원시 팔달구 지동 93-6번지,16247,37.2779105554,127.0279830169,,,,,
수원시,아주대학교병원,지역센터,1688-6114,경기도 수원시 영통구 월드컵로 1645(원천동),,,,,,,,Y,
수원시,윌스기념병원,지역기관,031-240-6119,경기도 수원시 팔달구 경수대로 437(인계동),경기도 수원시 팔달구 인계동 994-3번지,16480,37.2653173655,127.0255465941,,,,,
성남시,국군수도병원,지역기관,031-725-5114,경기도 성남시 분당구 새마을로 177번길 129(율동),,,,,,,,,
성남시,분당서울대병원,권역센터,1588-3369,경기도 성남시 분당구 구미로173번길 82(구미동),경기도 성남시 분당구 구미동 300번지,13620,37.3520167812,127.1244991912,,,,,
성남시,분당제생병원,지역센터,031-779-0114,경기도 성남시 분당구 서현로180번길 20(서현동),경기도 성남시 분당구 서현동 255-2번지,13590,37.3882075823,127.1217770322,,,,,
성남시,분당차병원,권역센터,031-780-5000,경기도 성남시 분당구 야탑로 59(야탑동),경기도 성남시 분당구 야탑동 351번지,13496,37.4104664747,127.1258348309,,Y,소아전문응급실,,
성남시,성남시의료원,지역기관,031-738-7300,경기도 성남시 수정구 수정로 171번길 10(태평동),경기도 성남시 수정구 태평동 3309번지,13290,37.4448498671,127.1390489311,,,,,
성남시,성남정병원,지역기관,031-750-6000,경기도 성남시 수정구 수정로 76(수진동),경기도 성남시 수정구 수진동 2968번지,13316,37.4398522373,127.1290120515,,,,,
성남시,성남중앙병원,지역기관,1577-7986,경기도 성남시 중원구 산성대로476번길 12(금광동),경기도 성남시 중원구 금광동 3956번지,13161,37.4528318807,127.1620415598,,,,,
의정부시,가톨릭대의정부성모병원,권역센터,1661-7500,경기도 의정부시 천보로 271(금오동),경기도 의정부시 금오동 65-1번지,11765,37.7585227082,127.0779287098,,,,Y,
의정부시,경기도의료원 의정부병원,지역기관,031-828-5000,경기도 의정부시 흥선로 142(의정부동),경기도 의정부시 의정부동 433번지,11671,37.7410761753,127.0425136635,,,,,
의정부시,을지대병원,지역센터,031-1899-0001,경기도 의정부시 동일로 712(금오동),경기도 의정부시 금오동 489번지,11759,37.7534456401,127.0504065293,,,,,
의정부시,의정부백병원,지역기관,031-856-8111,경기도 의정부시 금신로 322(신곡동),경기도 의정부시 신곡동 519-11번지,11778,37.7453057969,127.0621355806,,,,,
의정부시,추병원,지역기관,031-845-7777,경기도 의정부시 평화로 650(의정부동),경기도 의정부시 의정부동 234-2번지,11686,37.7497753415,127.0452071306,,,,,
안양시,안양샘병원,지역센터,031-467-9114,경기도 안양시 만안구 삼덕로 9(안양동),경기도 안양시 만안구 안양동 613-6번지,14030,37.3928939479,126.9248195521,,,,,
안양시,한림대성심병원,권역센터,031-380-1500,경기도 안양시 동안구 관평로170번길 22(평촌동),경기도 안양시 동안구 평촌동 896번지,14068,37.3916536825,126.9619737070,,,,,
부천시,가톨릭대부천성모병원,지역센터,1577-0675,경기도 부천시 원미구 소사로 327(소사동),경기도 부천시 소사동 2번지,14647,37.4867295555,126.7926409582,,,,,
부천시,다니엘종합병원,지역기관,032-670-0001,경기도 부천시 원미구 중동로 361(약대동),경기도 부천시 약대동 138-7번지,14513,37.5123311374,126.7694862939,,,,,
부천시,부천세종병원,지역센터,1599-6677,경기도 부천시 소사구 소현로 489번길 28(소사본동),경기도 부천시 소사본동 91-121번지,14754,37.4810423491,126.7911902926,,,,,
부천시,순천향대부천병원,권역센터,032-621-5114,경기도 부천시 원미구 조마루로 170(중동),경기도 부천시 중동 1174번지,14584,37.4983685015,126.7621105079,,,,,
광명시,광명성애병원,지역센터,02-2680-7114,경기도 광명시 디지털로 36(철산동),경기도 광명시 철산동 389번지,14241,37.4732140184,126.8716164265,,,,,
광명시,중앙대광명병원,지역센터,1811-7800,경기도 광명시 덕안로 110 (일직동),경기도 광명시 일직동 501번지,14353,37.4245797046,126.8859245166,,,,,
평택시,굿모닝병원,지역센터,031-659-7700,경기도 평택시 중앙로 338(합정동),경기도 평택시 합정동 883번지,17874,36.9905649024,127.1204512355,,,,,
평택시,박병원,지역기관,031-666-2600,경기도 평택시 송탄로 33(장당동),경기도 평택시 장당동 470-4번지,17784,37.0482621367,127.0570065529,,,,,
평택시,박애병원,지역기관,031-652-2121,경기도 평택시 평택2로20번길 3(평택동),경기도 평택시 평택동 41-2번지,17909,36.9930565731,127.0890739281,,,,,
평택시,평택성모병원,지역센터,031-1800-8800,경기도 평택시 평택로 284번지(세교동),경기도 평택시 세교동 439-3번지,17825,37.0083742374,127.0743680813,,,,,
안산시,고려대안산병원,권역센터,031-412-5114,경기도 안산시 단원구 적금로 123(고잔동),경기도 안산시 단원구 고잔동 516번지,15355,37.3188593416,126.8249943518,,,,,
안산시,근로복지공단안산병원,지역기관,031-500-1114,경기도 안산시 상록구 구룡로 87(일동),경기도 안산시 상록구 일동 95번지,15324,37.3167670968,126.8739933160,,,,,
안산시,단원병원,지역기관,031-8040-6600,경기도 안산시 단원구 원포공원1로20 (초지동),경기도 안산시 단원구 초지동 745-2번지,15457,37.3002233423,126.8132457950,,,,,
안산시,사랑의병원,지역기관,031-439-3000,경기도 안산시 상록구 예술광장로 69,경기도 안산시 상록구 성포동 593-4번지,15291,37.3269215026,126.8449233010,,,,,
안산시,한도병원,지역센터,031-8040-1114,경기도 안산시 단원구 선부광장로 103(선부동),경기도 안산시 단원구 선부동 1071-1번지,15367,37.3340553037,126.8076211068,,,,,
고양시,국립암센터,지역기관,031-920-0118,경기도 고양시 일산동구 일산로 323(마두동),경기도 고양시 일산동구 마두동 809번지,10408,37.6632367324,126.7833955610,,,,,
고양시,국민건강보험공단일산병원,지역센터,031-900-0114,경기도 고양시 일산동구 일산로 100(백석동),경기도 고양시 일산동구 백석동 1232번지,10444,37.6454752678,126.7929631952,,,,,
고양시,동국대일산불교병원,지역센터,1577-7000,경기도 고양시 일산동구 동국로 27(식사동),경기도 고양시 일산동구 식사동 814번지,10326,37.6764385211,126.8055630510,,,,,
고양시,명지병원,권역센터,031-810-5114,경기도 고양시 덕양구 화수로14번길 55(화정동),경기도 고양시 덕양구 화정동 697-1번지,10475,37.6424745722,126.8317454892,,,,,
고양시,인제대일산백병원,지역센터,031-910-7114,경기도 고양시 일산서구 주화로 170(대화동),경기도 고양시 일산서구 대화동 2240번지,10380,37.6742710122,126.7503817665,,,,,
고양시,일산차병원,지역기관,031-782-8300,경기도 고양시 일산동구 중앙로 1205,경기도 고양시 일산동구 장항동 889번지,10414,37.6541226556,126.7757402631,,,,,
구리시,한양대구리병원,지역센터,031-560-2114,경기도 구리시 경춘로 153(교문동),경기도 구리시 교문동 249-1번지,11923,37.6011883667,127.1325173047,,,,,
남양주시,남양주나눔병원,지역기관,031-570-1119,경기도 남양주시 오남읍 진건오남로 797번길 9,경기도 남양주시 오남읍 양지리 104-2번지,12045,37.6981150615,127.2015749087,,,,,
남양주시,남양주한양병원,지역센터,031-510-0114,경기도 남양주시 오남읍 양지로 47-55,경기도 남양주시 오남읍 오남리 570번지,12048,37.6823215983,127.2043260272,,,,,
남양주시,엘병원,지역기관,1899-3377,경기도 남양주시 퇴계원읍 퇴계원로 20,경기도 남양주시 퇴계원읍 퇴계원리 218-20번지,12122,37.6487786897,127.1411136554,,,,,
남양주시,현대병원,지역센터,031-574-9119,경기도 남양주시 진접읍 장현로 52,경기도 남양주시 진접읍 장현리 663번지,12013,37.7156786627,127.1796858087,,,,,
오산시,오산한국병원,지역센터,031-379-8300,경기도 오산시 밀머리로1번길 16(원동),경기도 오산시 원동 560-70번지,18144,37.1412846971,127.0755950189,,,,,
시흥시,센트럴병원,지역기관,1588-9339,경기도 시흥시 공단1대로 237(정왕동),경기도 시흥시 정왕동 1366-11번지,15079,37.3368704199,126.7279758655,,,,,
시흥시,시화병원,지역센터,031-432-2600,경기도 시흥시 옥구천서로 337(정왕동),경기도 시흥시 정왕동 1860-1번지,15040,37.3529286368,126.7245821812,,,,,
시흥시,신천연합병원,지역기관,031-310-6300,경기도 시흥시 복지로 57(대야동),경기도 시흥시 대야동 469-3번지,14905,37.4445266056,126.7893756920,,,,,
군포시,원광대산본병원,지역센터,031-390-2300,경기도 군포시 산본로 321(산본동),경기도 군포시 산본동 1142번지,15865,37.3594142404,126.9336007710,,,,,
군포시,지샘병원,지역센터,031-389-3000,경기도 군포시 군포로 591(당동),경기도 군포시 당동 730번지,15839,37.3586407829,126.9473038902,,,,,
의왕시,시티병원,지역기관,031-340-0114,경기도 의왕시 오전천로 29(오전동),경기도 의왕시 오전동 374-1번지,16060,37.3502838907,126.9767891156,,,,,
용인시,강남병원,지역센터,031-300-0114,경기도 용인시 기흥구 중부대로 411(신갈동),경기도 용인시 기흥구 신갈동 65-3번지,17064,37.2736708927,127.1114435444,,,,,
용인시,다보스병원,지역기관,031-8021-2114,경기도 용인시 처인구 백옥대로1082번길 18(김량장동),경기도 용인시 처인구 김량장동 18-4번지,17063,37.2315458776,127.2114163575,,,,,
용인시,명주병원,지역기관,1522-8119,경기도 용인시 처인구 금령로39번길 8-6 (김량장동),경기도 용인시 처인구 김량장동 254-337번지,17050,37.2353962643,127.2010748933,,,,,
용인시,용인서울병원,지역기관,031-322-0001,경기도 용인시 처인구 고림로 81(고림동),경기도 용인시 처인구 고림동 787-1번지,17148,37.2403149583,127.2144834225,,,,,
용인시,용인세브란스병원,지역센터,031-331-8631,경기도 용인시 기흥구 동백죽전대로 363(중동),경기도 용인시 기흥구 중동 1151번지,16995,37.2707754145,127.1482844761,,,,,
파주시,메디인병원,지역기관,1566-1991,경기도 파주시 금릉역로 190(금촌동),경기도 파주시 금촌동 495-1번지,10913,37.7610981986,126.7667173351,,,,,
이천시,경기도의료원 이천병원,지역센터,031-639-4800,경기도 이천시 경충대로 2742번길,경기도 이천시 관고동 515번지,17366,37.2828169641,127.4332171305,,,,,
안성시,경기도의료원 안성병원,지역기관,031-8046-5000,경기도 안성시 고수2로 17(당왕동),,17572,,,,,,,
안성시,안성성모병원,지역기관,031-675-6007,경기도 안성시 시장길 58,경기도 안성시 서인동 14번지,17592,37.0058059754,127.2707076272,,,,,
김포시,김포우리병원,지역센터,031-999-1000,경기도 김포시 감암로 11(걸포동),경기도 김포시 걸포동 389-15번지,10099,37.6330010089,126.7105517913,,,,,
김포시,뉴고려병원,지역센터,031-980-9114,경기도 김포시 김포한강3로 283(장기동),경기도 김포시 장기동 1764번지,10086,37.6409639190,126.6602555380,,,,,
화성시,원광종합병원,지역기관,031-8077-7200,경기도 화성시 화산북로 21(송산동),경기도 화성시 송산동 200-4번지,18356,37.2100622996,127.0080299071,,,,,
화성시,한림대동탄성심병원,지역센터,031-8086-3000,경기도 화성시 큰재봉길 7(석우동),경기도 화성시 석우동 40번지,18450,37.2164957291,127.0799416615,,,,,
화성시,화성디에스병원,지역기관,031-5180-7777,경기도 화성시 남양읍 시청로160번길 46-13,경기도 화성시 남양읍 남양리 2319-2번지,18270,37.1992313944,126.8257117279,,,,,
화성시,화성중앙종합병원,지역기관,031-352-8114,경기도 화성시 향남읍 발안로 5,경기도 화성시 향남읍 평리 74-1번지,18592,37.1313495282,126.9107734239,,,,,
광주시,참조은병원,지역센터,031-767-7575,경기도 광주시 경광주대로 45,,,,,,,,,
포천시,경기도의료원 포천병원,지역센터,031-539-9114,경기도 포천시 포천로 1648(신읍동),경기도 포천시 신읍동 243-1번지,11142,37.9030934888,127.1983489735,,,,,
포천시,우리병원,지역기관,031-542-0222,경기도 포천시 소흘읍 호국로 661,경기도 포천시 소흘읍 송우리 116-11번지,11174,37.8274877024,127.1481359819,,,,,
여주시,세종여주병원,지역기관,031-885-7977,경기도 여주시 청심로 47(하동),경기도 여주시 하동 435-2번지,12618,37.3013277742,127.6267042219,,,,,
연천군,연천군보건의료원,지역기관,031-839-4001,경기도 연천군 전곡읍 은대성로 95,경기도 연천군 전곡읍 은대리 577-36번지,11027,38.0235512237,127.0609862377,,,,,
양평군,양평병원,지역기관,031-770-5000,경기도 양평군 양평읍 중앙로 129,경기도 양평군 양평읍 공흥리 316-2번지,12550,37.4939488353,127.5034843038,,,,,

